name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Anyone,Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,2021-01-01,91,190779,0.686,0.181,0.538,3.13e-06,0.113,0.584,-8.026,0.0345,115.884,2,4,Happy
Fly Away,Fly Away,Tones And I,5ri4zqtWhG07hIuNNDWP76,2020-11-13,84,178156,0.806,0.217,0.513,0.0,0.217,0.503,-6.208,0.0685,124.988,4,4,Happy
Wonder,Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,2020-10-02,83,172692,0.333,0.131,0.637,1.8e-05,0.149,0.132,-4.904,0.0581,139.898,1,4,Happy
Lasting Lover,Lasting Lover,Sigala,0DmAvNCAK08oCi7miSZUIY,2020-09-04,84,218358,0.676,0.197,0.786,0.0,0.0943,0.483,-4.529,0.0478,125.983,1,4,Happy
The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),Sam Feldt,140XpWSdJ0jZEbLj9iVnPA,2020-11-20,74,161944,0.667,0.0863,0.827,0.0,0.0565,0.573,-5.631,0.0368,107.95,11,4,Happy
At Least I Had Fun,At Least I Had Fun,Martin Jensen,7jqXDgGWkV4w2ctdb2g59o,2020-08-14,70,170613,0.794,0.198,0.706,0.0,0.0536,0.908,-6.066,0.0382,116.032,5,4,Happy
Together,Together,Sia,5id3Rqn7SPj1LX4FfY4nGz,2020-05-20,79,205207,0.521,0.0132,0.877,0.0806,0.0929,0.199,-5.444,0.0683,180.007,7,4,Happy
Watermelon Sugar,Watermelon Sugar,Harry Styles,1e9oZCCiX42nJl0AcqriVo,2019-11-17,78,174000,0.548,0.122,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39,0,4,Happy
Slow Dance (feat. Ava Max) - Sam Feldt Remix,Slow Dance (feat. Ava Max) [Sam Feldt Remix],AJ Mitchell,2wenGTypSYHXl1sN1pNC7X,2019-10-25,70,193548,0.732,0.114,0.85,2.02e-06,0.0388,0.372,-5.999,0.0444,124.024,1,4,Happy
Dancing in the Moonlight (feat. NEIMY),Dancing in the Moonlight (feat. NEIMY),Jubël,5ow0sNF1zSqp71Ix5jEXWU,2018-06-22,66,164009,0.659,0.27,0.617,0.0,0.187,0.187,-5.862,0.0649,119.858,11,4,Happy
