,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
0,Anyone,Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,2021-01-01,91,190779,0.686,0.181,0.538,3.13e-06,0.113,0.584,-8.026,0.0345,115.884,2,4,Happy
1,Fly Away,Fly Away,Tones And I,5ri4zqtWhG07hIuNNDWP76,2020-11-13,84,178156,0.806,0.217,0.513,0.0,0.217,0.503,-6.208,0.0685,124.988,4,4,Happy
2,Wonder,Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,2020-10-02,83,172692,0.333,0.131,0.637,1.8e-05,0.149,0.132,-4.904,0.0581,139.898,1,4,Happy
3,Lasting Lover,Lasting Lover,Sigala,0DmAvNCAK08oCi7miSZUIY,2020-09-04,84,218358,0.676,0.197,0.786,0.0,0.0943,0.483,-4.529,0.0478,125.983,1,4,Happy
4,The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),Sam Feldt,140XpWSdJ0jZEbLj9iVnPA,2020-11-20,74,161944,0.667,0.0863,0.827,0.0,0.0565,0.573,-5.631,0.0368,107.95,11,4,Happy
5,At Least I Had Fun,At Least I Had Fun,Martin Jensen,7jqXDgGWkV4w2ctdb2g59o,2020-08-14,70,170613,0.794,0.198,0.706,0.0,0.0536,0.908,-6.066,0.0382,116.032,5,4,Happy
6,Together,Together,Sia,5id3Rqn7SPj1LX4FfY4nGz,2020-05-20,79,205207,0.521,0.0132,0.877,0.0806,0.0929,0.199,-5.444,0.0683,180.007,7,4,Happy
7,Watermelon Sugar,Watermelon Sugar,Harry Styles,1e9oZCCiX42nJl0AcqriVo,2019-11-17,78,174000,0.548,0.122,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39,0,4,Happy
8,Slow Dance (feat. Ava Max) - Sam Feldt Remix,Slow Dance (feat. Ava Max) [Sam Feldt Remix],AJ Mitchell,2wenGTypSYHXl1sN1pNC7X,2019-10-25,70,193548,0.732,0.114,0.85,2.02e-06,0.0388,0.372,-5.999,0.0444,124.024,1,4,Happy
9,Dancing in the Moonlight (feat. NEIMY),Dancing in the Moonlight (feat. NEIMY),Jubël,5ow0sNF1zSqp71Ix5jEXWU,2018-06-22,66,164009,0.659,0.27,0.617,0.0,0.187,0.187,-5.862,0.0649,119.858,11,4,Happy
11,What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,2020-01-17,82,180644,0.852,0.00839,0.698,1.03e-06,0.0773,0.324,-7.206,0.0629,113.039,9,4,Happy
12,I Don't Know Why,I Don't Know Why,NOTD,0ZXdzaT1k688dkpNeEgQiV,2020-05-08,76,207667,0.499,0.124,0.898,7.2e-06,0.0832,0.618,-4.181,0.124,120.04,8,4,Happy
13,Friends,Glorious,Ella Henderson,18RdChpgvaAO7GXDjLks2B,2019-11-08,70,178298,0.747,0.198,0.537,1.26e-05,0.18,0.453,-5.76,0.0413,97.056,10,4,Happy
14,Take You Dancing,Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,2020-07-22,87,190306,0.789,0.0332,0.711,0.0,0.0876,0.753,-4.248,0.041,112.985,2,4,Happy
15,Good Vibes,Good Vibes,HRVY,53kWAAfx7IopXRa31MQHB8,2020-09-04,71,170280,0.558,0.274,0.877,0.0,0.162,0.762,-3.392,0.145,99.988,10,4,Happy
16,Love You Better,Love You Better,John De Sohn,4UuGBDjt8gLXsANZqZxMBz,2019-11-15,70,170893,0.733,0.0931,0.786,0.0013,0.1,0.786,-7.494,0.0422,102.999,11,4,Happy
17,Cover Me In Sunshine,Cover Me In Sunshine,P!nk,6Tio0ZoDeSQnI7EBAqWer2,2021-02-12,85,141050,0.476,0.0599,0.594,0.0,0.0785,0.314,-6.879,0.135,159.702,5,4,Happy
18,Get To Know You,Get To Know You,Samantha Harvey,3oiLlbBynuErymca4Dwp5H,2019-11-08,66,201666,0.761,0.0783,0.695,0.0,0.14,0.69,-4.048,0.0886,118.004,5,4,Happy
19,Drown (feat. Clinton Kane),Drown (feat. Clinton Kane),Martin Garrix,4RVtBlHFKj51Ipvpfv5ER4,2020-02-27,78,174062,0.573,0.212,0.739,0.0,0.175,0.363,-5.455,0.0581,120.077,9,4,Happy
20,Never Seen the Rain,Never Seen the Rain,Tones And I,2grAr8pWMuLWn8ZYEE9wDV,2019-07-15,65,200755,0.485,0.44,0.461,0.0,0.232,0.324,-5.646,0.0444,87.009,9,4,Happy
21,Little Bit Of Love - Indian Summer Remix,Little Bit Of Love,JP Cooper,4WEojtwHd0MUF3sPz5ITAj,2020-06-05,65,205199,0.708,0.0133,0.758,1.04e-05,0.418,0.272,-4.453,0.0367,101.017,7,4,Happy
22,Take Care of You,Take Care of You,Ella Henderson,7GajHE5z66qqmzTrKVFCab,2020-06-12,70,194234,0.66,0.141,0.667,5.26e-05,0.107,0.452,-6.87,0.0474,114.901,11,4,Happy
23,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,0osvOdeD3YXZiWkT8MKolJ,2021-01-21,84,153865,0.749,0.0209,0.674,0.0,0.169,0.711,-5.128,0.0366,123.055,10,4,Happy
24,I Found You,I Found You,Cash Cash,3wYOGJYD31sLRmBgCvWxa4,2020-02-28,72,167307,0.646,0.0714,0.761,0.0,0.222,0.472,-2.557,0.0385,129.916,1,4,Happy
25,Someone,Strawtown,Jubël,68zNuCEl9UHTbcBltW2uDv,2020-03-27,69,181101,0.7,0.0531,0.904,8.03e-06,0.105,0.347,-4.03,0.0431,103.039,2,4,Happy
27,Little Bit Of Love,Little Bit Of Love,JP Cooper,0VrgIjDkmDwlgZk54Try2u,2020-05-08,66,195452,0.659,0.0636,0.801,0.0,0.341,0.334,-4.234,0.0435,105.991,7,4,Happy
28,Lean On Me,Lean On Me,Sandro Cavazza,43Hit5V2BpPq2vxvca3ysc,2020-10-09,72,182497,0.799,0.412,0.419,0.0,0.203,0.716,-7.99,0.174,156.055,6,4,Happy
29,You (with Marshmello & Vance Joy),You (with Marshmello & Vance Joy),benny blanco,1GkHyypTFkUf0QQKwYoXH4,2021-01-29,81,169632,0.668,0.0493,0.563,0.0,0.119,0.305,-6.433,0.0522,103.116,11,4,Happy
30,Tangerine Skies,Tangerine Skies,Declan J Donovan,2VvHa9p1kkTmaCMq0exODA,2020-04-24,60,192000,0.756,0.0578,0.815,2e-05,0.387,0.927,-5.122,0.046,120.002,6,4,Happy
31,Dive,Dive,Hot Shade,0Npijoc6ZcUe1devUugKvI,2019-12-20,68,164490,0.654,0.00515,0.787,0.0,0.144,0.409,-4.999,0.0502,123.978,4,4,Happy
32,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,24ySl2hOPGCDcxBxFIqWBu,2020-05-22,84,182200,0.672,0.021,0.855,0.0,0.323,0.646,-3.764,0.0397,123.056,9,4,Happy
33,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),Clean Bandit,27u7t9d7ZQoyjsCROHuZJ3,2020-08-21,83,178373,0.779,0.369,0.705,7.91e-06,0.124,0.946,-3.895,0.0344,101.022,0,4,Happy
34,Somebody,Somebody,Dagny,6pU7kdmhRvhc8twYRl14bD,2020-05-01,56,194373,0.721,0.00178,0.763,0.000238,0.0945,0.436,-4.748,0.0382,117.981,5,4,Happy
36,Sing It With Me,Sing It With Me,JP Cooper,60DwQiwwglVkTkTwDTTEId,2019-05-03,10,201198,0.54,0.0744,0.793,0.0,0.354,0.399,-4.379,0.0493,112.219,5,4,Happy
